t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000010713048714805e+00,2.081668171172168513e-17,1.000002824268367618e+00,-3.122502256758252770e-17,1.000002824268367618e+00,-3.122502256758252770e-17
2.000000000000000042e-02,9.999333346666539057e-01,-9.999666671111078972e-03,9.999437511494426722e-01,-9.999770839411413481e-03,9.999359985791225203e-01,-9.999690483841658026e-03,9.999359985791225203e-01,-9.999690483841658026e-03
4.000000000000000083e-02,9.997333546658540016e-01,-1.999733347555149310e-02,9.997434737958074136e-01,-1.999753588513952449e-02,9.997358640167672839e-01,-1.999737822671737025e-02,9.997358640167672839e-01,-1.999737822671737025e-02
5.999999999999999778e-02,9.994001079907433027e-01,-2.999100107993057235e-02,9.994099290876001795e-01,-2.999129580125838024e-02,9.994024684383631119e-01,-2.999106405968709685e-02,9.994024684383631119e-01,-2.999106405968709685e-02
8.000000000000000167e-02,9.989336746146585400e-01,-3.997867121725769135e-02,9.989431971046912606e-01,-3.997905232013604371e-02,9.989358916820090251e-01,-3.997874987404791136e-02,9.989358916820090251e-01,-3.997874987404791136e-02
1.000000000000000056e-01,9.983341664682814365e-01,-4.995834721974233561e-02,9.983433898841517218e-01,-4.995880877523009578e-02,9.983362455440845107e-01,-4.995843915427605059e-02,9.983362455440845107e-01,-4.995843915427605059e-02
1.199999999999999956e-01,9.976017274076612873e-01,-5.992803455111456179e-02,9.976106513882402327e-01,-5.992857063340307350e-02,9.976036737473581439e-01,-5.992813751048838011e-02,9.976036737473581439e-01,-5.992813751048838011e-02
1.400000000000000133e-01,9.967365331731177225e-01,-6.988574133830592616e-02,9.967451574632755218e-01,-6.988634602659790640e-02,9.967383518999739511e-01,-6.988585321026367925e-02,9.967383518999739511e-01,-6.988585321026367925e-02
1.600000000000000033e-01,9.957387913390374212e-01,-7.982947890233157984e-02,9.957471157894002278e-01,-7.983014628271387081e-02,9.957404874453251731e-01,-7.982959770966414903e-02,9.957404874453251731e-01,-7.982959770966414903e-02
1.799999999999999933e-01,9.946087412545786544e-01,-8.975726228821434560e-02,9.946167658212534679e-01,-8.975798645552406085e-02,9.946103196028344140e-01,-8.975738618329823226e-02,9.946103196028344140e-01,-8.975738618329823226e-02
2.000000000000000111e-01,9.933466539753060820e-01,-9.966711079379184102e-02,9.933543787195724395e-01,-9.966788585347531593e-02,9.933481192996568288e-01,-9.966723805326506425e-02,9.933481192996568288e-01,-9.966723805326506425e-02
