mode_budget,active_modes,sdp,sdp_optimized,positive_exponential
1.000000000000000000e+00,1.000000000000000000e+00,3.921991288048821689e-01,3.921991288048821689e-01,3.921990835917673057e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.224883785373165890e-01,3.781929015387323900e-02,3.781929015387323900e-02
3.000000000000000000e+00,3.000000000000000000e+00,2.418473275902844818e-03,5.915431400178372068e-04,5.915431400178372068e-04
4.000000000000000000e+00,4.000000000000000000e+00,1.671868590354028919e-04,1.311448863786612310e-05,1.311448863786612310e-05
5.000000000000000000e+00,5.000000000000000000e+00,3.986703326113853638e-05,3.409014354516592341e-06,3.409014354516592341e-06
6.000000000000000000e+00,6.000000000000000000e+00,3.199455206690828680e-05,6.529775476943741151e-07,6.529775476943741151e-07
7.000000000000000000e+00,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
8.000000000000000000e+00,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
9.000000000000000000e+00,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.000000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.100000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.200000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.300000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.400000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
1.500000000000000000e+01,7.000000000000000000e+00,2.749684485792085217e-05,9.624914402883073245e-07,9.624914402883073245e-07
