mode_budget,active_modes,sdp_seconds,sdp_optimized_seconds,positive_seconds
1.000000000000000000e+00,1.000000000000000000e+00,1.323444999870844185e-01,1.372210829867981374e-01,1.248341670143418014e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.350304590305313468e-01,1.381640419713221490e-01,1.427967500058002770e-01
3.000000000000000000e+00,3.000000000000000000e+00,1.353576669935137033e-01,1.463195409742183983e-01,1.477648330037482083e-01
4.000000000000000000e+00,4.000000000000000000e+00,1.352328749489970505e-01,2.738815000047907233e-01,2.733174590393900871e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.420835829921998084e-01,2.029637080268003047e-01,2.018602919997647405e-01
6.000000000000000000e+00,6.000000000000000000e+00,1.420497910003177822e-01,3.531424169777892530e-01,3.558417499880306423e-01
7.000000000000000000e+00,7.000000000000000000e+00,1.438642920111306012e-01,3.735314169898629189e-01,3.777445419691503048e-01
8.000000000000000000e+00,7.000000000000000000e+00,nan,nan,nan
9.000000000000000000e+00,7.000000000000000000e+00,nan,nan,nan
1.000000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.100000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.200000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.300000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.400000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.500000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
