t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000013068852976250e+00,6.938893903907228378e-18,1.000002999389496328e+00,-1.387778780781445676e-17,1.000002999389496328e+00,-1.387778780781445676e-17
2.000000000000000042e-02,9.999500008333266354e-01,-8.488037280457803174e-03,9.999627658739866920e-01,-8.488145616918364375e-03,9.999528335030987147e-01,-8.488067888359745322e-03,9.999528335030987147e-01,-8.488067888359745322e-03
4.000000000000000083e-02,9.998000133328889261e-01,-1.697471651633944076e-02,9.998124739160293428e-01,-1.697492765557826952e-02,9.998026850655377107e-01,-1.697477444625537443e-02,9.998026850655377107e-01,-1.697477444625537443e-02
5.999999999999999778e-02,9.995500674949377995e-01,-2.545867997346916087e-02,9.995622230672465136e-01,-2.545898838245677989e-02,9.995525839484472597e-01,-2.545876211309675008e-02,9.995525839484472597e-01,-2.545876211309675008e-02
8.000000000000000167e-02,9.992002133048910606e-01,-3.393857053838901516e-02,9.992120634047920724e-01,-3.393897068626893637e-02,9.992025800129872293e-01,-3.393867394304028728e-02,9.992025800129872293e-01,-3.393867394304028728e-02
1.000000000000000056e-01,9.987505207248399408e-01,-4.241303202851106485e-02,9.987620649823125696e-01,-4.241351838811503738e-02,9.987527430974407761e-01,-4.241315391526361694e-02,9.987527430974407761e-01,-4.241315391526361694e-02
1.199999999999999956e-01,9.982010796760583116e-01,-5.088070950202115694e-02,9.982123178124332474e-01,-5.088127655137946598e-02,9.982031629998152633e-01,-5.088084724399152825e-02,9.982031629998152633e-01,-5.088084724399152825e-02
1.400000000000000133e-01,9.975520000165265522e-01,-5.934024956745178464e-02,9.975629318442568172e-01,-5.934089179129825586e-02,9.975539494554526154e-01,-5.934040068819118607e-02,9.975539494554526154e-01,-5.934040068819118607e-02
1.600000000000000033e-01,9.968034115134712936e-01,-6.779030069284198989e-02,9.968140369358781117e-01,-6.779101258411286690e-02,9.968052321096512181e-01,-6.779046286085309292e-02,9.968052321096512181e-01,-6.779046286085309292e-02
1.799999999999999933e-01,9.959554638109316960e-01,-7.622951351440084011e-02,9.959657828219279363e-01,-7.623028957572790254e-02,9.959571604853122428e-01,-7.622968453777628772e-02,9.959571604853122428e-01,-7.622968453777628772e-02
2.000000000000000111e-01,9.950083263923603649e-01,-8.465654114459369994e-02,9.950183390761483393e-01,-8.465737588979024841e-02,9.950099039456147265e-01,-8.465671896577456335e-02,9.950099039456147265e-01,-8.465671896577456335e-02
2.200000000000000011e-01,9.939621885382665667e-01,-9.307003947956721257e-02,9.939718950690142885e-01,-9.307092743510779476e-02,9.939636516517338372e-01,-9.307022217022228872e-02,9.939636516517338372e-01,-9.307022217022228872e-02
2.399999999999999911e-01,9.928172592789227258e-01,-1.014686675058335541e-01,9.928266599204119691e-01,-1.014696032123257180e-01,9.928186125156126529e-01,-1.014688532618572836e-01,9.928186125156126529e-01,-1.014688532618572836e-01
2.600000000000000089e-01,9.915737673421346488e-01,-1.098510876061296743e-01,9.915828624473898012e-01,-1.098520656197785744e-01,9.915750151477986662e-01,-1.098512747427594360e-01,9.915750151477986662e-01,-1.098512747427594360e-01
2.800000000000000266e-01,9.902319610960982343e-01,-1.182159658643725381e-01,9.902407511069896140e-01,-1.182169807584368820e-01,9.902331078003645537e-01,-1.182161528114232668e-01,9.902331078003645537e-01,-1.182161528114232668e-01
2.999999999999999889e-01,9.887921084873600996e-01,-1.265619723696271015e-01,9.888005939341827366e-01,-1.265630187358669501e-01,9.887931583049250905e-01,-1.265621576668432557e-01,9.887931583049250905e-01,-1.265621576668432557e-01
3.200000000000000067e-01,9.872544969738925591e-01,-1.348877815190070439e-01,9.872626784749236606e-01,-1.348888539691230071e-01,9.872554540057676409e-01,-1.348879638115311752e-01,9.872554540057676409e-01,-1.348879638115311752e-01
3.400000000000000244e-01,9.856194334533068258e-01,-1.431920723194286815e-01,9.856273117143390383e-01,-1.431931654864911918e-01,9.856203016881199819e-01,-1.431922503533845370e-01,9.856203016881199819e-01,-1.431922503533845370e-01
3.599999999999999867e-01,9.838872441862244189e-01,-1.514735286881351839e-01,9.838948200000754429e-01,-1.514746372280048881e-01,9.838880275015677856e-01,-1.514737013063258697e-01,9.838880275015677856e-01,-1.514737013063258697e-01
