mode_budget,active_modes,sdp,sdp_optimized,positive_exponential
1.000000000000000000e+00,1.000000000000000000e+00,3.546043034511160430e-01,3.194917242386844380e-01,3.194917242386844380e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.007892705562066366e-01,2.749744193831476363e-02,2.749744193831476363e-02
3.000000000000000000e+00,3.000000000000000000e+00,1.873415123821139342e-03,4.377120127449181169e-04,4.377120127449181169e-04
4.000000000000000000e+00,4.000000000000000000e+00,1.384104089638054454e-04,9.682693684819238428e-06,9.682693684819238428e-06
5.000000000000000000e+00,5.000000000000000000e+00,3.765148992631607832e-05,2.874669481142077834e-06,2.874669481142077834e-06
6.000000000000000000e+00,6.000000000000000000e+00,3.214145191591505883e-05,6.860123775450781753e-07,6.860123775450781753e-07
7.000000000000000000e+00,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
8.000000000000000000e+00,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
9.000000000000000000e+00,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.000000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.100000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.200000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.300000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.400000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
1.500000000000000000e+01,7.000000000000000000e+00,2.646772820883750861e-05,1.065917128417865615e-06,1.065917128417865615e-06
