mode_budget,active_modes,sdp_seconds,sdp_optimized_seconds,positive_seconds
1.000000000000000000e+00,1.000000000000000000e+00,1.408617499982938170e-01,1.297720409929752350e-01,1.290162910008803010e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.341094580129720271e-01,1.357681250083260238e-01,1.357567500090226531e-01
3.000000000000000000e+00,3.000000000000000000e+00,1.320010830531828105e-01,1.530160409747622907e-01,1.476511670043691993e-01
4.000000000000000000e+00,4.000000000000000000e+00,1.347132080118171871e-01,2.791068750084377825e-01,2.803448750055395067e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.496020829654298723e-01,1.932061249972321093e-01,1.928848329698666930e-01
6.000000000000000000e+00,6.000000000000000000e+00,1.404173750197514892e-01,3.976129580405540764e-01,4.037927919998764992e-01
7.000000000000000000e+00,7.000000000000000000e+00,1.464661249774508178e-01,3.318244579713791609e-01,3.349907500087283552e-01
8.000000000000000000e+00,7.000000000000000000e+00,nan,nan,nan
9.000000000000000000e+00,7.000000000000000000e+00,nan,nan,nan
1.000000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.100000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.200000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.300000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.400000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
1.500000000000000000e+01,7.000000000000000000e+00,nan,nan,nan
