t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.091728174022192910e+00,-6.383782391594650107e-16,5.091728174022192910e+00,-6.383782391594650107e-16,5.091728174022192910e+00,-6.383782391594650107e-16
2.000000000000000042e-02,4.975041631961802047e+00,0.000000000000000000e+00,5.058656023246151712e+00,-5.301319893945076706e-13,5.058656023246151712e+00,-5.301319893945076706e-13,5.058656023246151712e+00,-5.301319893945076706e-13
4.000000000000000083e-02,4.900664448882968927e+00,0.000000000000000000e+00,4.966012628868860190e+00,-9.419139594037147750e-13,4.966012628868860190e+00,-9.419139594037147750e-13,4.966012628868860190e+00,-9.419139594037147750e-13
5.999999999999999778e-02,4.778349801065261637e+00,0.000000000000000000e+00,4.822031521648394659e+00,-1.240277430150970168e-12,4.822031521648394659e+00,-1.240277430150970168e-12,4.822031521648394659e+00,-1.240277430150970168e-12
8.000000000000000167e-02,4.610525576177124663e+00,0.000000000000000000e+00,4.633358539607410620e+00,-1.430048476471628504e-12,4.633358539607410620e+00,-1.430048476471628504e-12,4.633358539607410620e+00,-1.430048476471628504e-12
1.000000000000000056e-01,4.400505857449335423e+00,0.000000000000000000e+00,4.405653796556983082e+00,-1.520395976349740012e-12,4.405653796556983082e+00,-1.520395976349740012e-12,4.405653796556983082e+00,-1.520395976349740012e-12
1.199999999999999956e-01,4.152408813060129766e+00,0.000000000000000000e+00,4.144055077183550040e+00,-1.521758925147318682e-12,4.144055077183550040e+00,-1.521758925147318682e-12,4.144055077183550040e+00,-1.521758925147318682e-12
1.400000000000000133e-01,3.871055099506103936e+00,0.000000000000000000e+00,3.853514496533266609e+00,-1.447059930446453868e-12,3.853514496533266609e+00,-1.447059930446453868e-12,3.853514496533266609e+00,-1.447059930446453868e-12
1.600000000000000033e-01,3.561849595385501388e+00,0.000000000000000000e+00,3.539022293792528195e+00,-1.309030113135788862e-12,3.539022293792528195e+00,-1.309030113135788862e-12,3.539022293792528195e+00,-1.309030113135788862e-12
1.799999999999999933e-01,3.230649731839807082e+00,0.000000000000000000e+00,3.205732943551404368e+00,-1.122073172158553109e-12,3.205732943551404368e+00,-1.122073172158553109e-12,3.205732943551404368e+00,-1.122073172158553109e-12
2.000000000000000111e-01,2.883624038784367016e+00,0.000000000000000000e+00,2.859009431832978176e+00,-9.006146467676427134e-13,2.859009431832978176e+00,-9.006146467676427134e-13,2.859009431832978176e+00,-9.006146467676427134e-13
2.200000000000000011e-01,2.527104771904835623e+00,0.000000000000000000e+00,2.504401633828887253e+00,-6.575969365095651095e-13,2.504401633828887253e+00,-6.575969365095651095e-13,2.504401633828887253e+00,-6.575969365095651095e-13
2.399999999999999911e-01,2.167438617424712888e+00,0.000000000000000000e+00,2.147574323796542117e+00,-4.065394321614212913e-13,2.147574323796542117e+00,-4.065394321614212913e-13,2.147574323796542117e+00,-4.065394321614212913e-13
2.600000000000000089e-01,1.810839486606071747e+00,0.000000000000000000e+00,1.794199525053408406e+00,-1.588096600327951238e-13,1.794199525053408406e+00,-1.588096600327951238e-13,1.794199525053408406e+00,-1.588096600327951238e-13
2.800000000000000266e-01,1.463247310186744921e+00,0.000000000000000000e+00,1.449826749608520648e+00,7.507453696612218490e-14,1.449826749608520648e+00,7.507453696612218490e-14,1.449826749608520648e+00,7.507453696612218490e-14
2.999999999999999889e-01,1.130196528419788571e+00,0.000000000000000000e+00,1.119743261209953156e+00,2.867046246825256416e-13,1.119743261209953156e+00,2.867046246825256416e-13,1.119743261209953156e+00,2.867046246825256416e-13
3.200000000000000067e-01,8.166976524390771042e-01,0.000000000000000000e+00,8.088348977297780129e-01,4.691897332488647739e-13,8.088348977297780129e-01,4.691897332488647739e-13,8.088348977297780129e-01,4.691897332488647739e-13
3.400000000000000244e-01,5.271348578867851575e-01,0.000000000000000000e+00,5.214562794734342033e-01,6.168265273911574331e-13,5.214562794734342033e-01,6.168265273911574331e-13,5.214562794734342033e-01,6.168265273911574331e-13
3.599999999999999867e-01,2.651820754941016101e-01,0.000000000000000000e+00,2.613174739532634350e-01,7.274015689062327358e-13,2.613174739532634350e-01,7.274015689062327358e-13,2.613174739532634350e-01,7.274015689062327358e-13
3.800000000000000044e-01,3.373948138613593745e-02,0.000000000000000000e+00,3.139244285886792080e-02,7.989125139630887463e-13,3.139244285886792080e-02,7.989125139630887463e-13,3.139244285886792080e-02,7.989125139630887463e-13
4.000000000000000222e-01,-1.651083200588727984e-01,0.000000000000000000e+00,-1.661470861726638271e-01,8.315083174949696031e-13,-1.661470861726638271e-01,8.315083174949696031e-13,-1.661470861726638271e-01,8.315083174949696031e-13
4.199999999999999845e-01,-3.301117669667766874e-01,0.000000000000000000e+00,-3.299702593556941288e-01,8.278334051427904419e-13,-3.299702593556941288e-01,8.278334051427904419e-13,-3.299702593556941288e-01,8.278334051427904419e-13
4.400000000000000022e-01,-4.608534589161060735e-01,0.000000000000000000e+00,-4.595976249753343512e-01,7.901493593428612810e-13,-4.595976249753343512e-01,7.901493593428612810e-13,-4.595976249753343512e-01,7.901493593428612810e-13
4.600000000000000200e-01,-5.577235567335754318e-01,0.000000000000000000e+00,-5.553842026399627985e-01,7.232223236326508092e-13,-5.553842026399627985e-01,7.232223236326508092e-13,-5.553842026399627985e-01,7.232223236326508092e-13
4.799999999999999822e-01,-6.218747043740787683e-01,0.000000000000000000e+00,-6.184768388343265810e-01,6.312682943807169570e-13,-6.184768388343265810e-01,6.312682943807169570e-13,-6.184768388343265810e-01,6.312682943807169570e-13
5.000000000000000000e-01,-6.551582751829305717e-01,0.000000000000000000e+00,-6.507484926044030393e-01,5.209278384582013429e-13,-6.507484926044030393e-01,5.209278384582013429e-13,-6.507484926044030393e-01,5.209278384582013429e-13
5.200000000000000178e-01,-6.600442420613884531e-01,0.000000000000000000e+00,-6.547127955073975825e-01,3.976438727146629149e-13,-6.547127955073975825e-01,3.976438727146629149e-13,-6.547127955073975825e-01,3.976438727146629149e-13
5.400000000000000355e-01,-6.395273903325672249e-01,0.000000000000000000e+00,-6.334227339360466447e-01,2.668523020017966045e-13,-6.334227339360466447e-01,2.668523020017966045e-13,-6.334227339360466447e-01,2.668523020017966045e-13
5.600000000000000533e-01,-5.970229219482275917e-01,0.000000000000000000e+00,-5.903576168298474425e-01,1.351088912593645367e-13,-5.903576168298474425e-01,1.351088912593645367e-13,-5.903576168298474425e-01,1.351088912593645367e-13
5.799999999999999600e-01,-5.362547315585216579e-01,0.000000000000000000e+00,-5.293026293547907768e-01,7.299516423571065825e-15,-5.293026293547907768e-01,7.299516423571065825e-15,-5.293026293547907768e-01,7.299516423571065825e-15
5.999999999999999778e-01,-4.611397635459428268e-01,0.000000000000000000e+00,-4.542252487366884584e-01,-1.115908847950176548e-13,-4.542252487366884584e-01,-1.115908847950176548e-13,-4.542252487366884584e-01,-1.115908847950176548e-13
6.199999999999999956e-01,-3.756718823761655002e-01,0.000000000000000000e+00,-3.691526302292765238e-01,-2.173663007908228303e-13,-3.691526302292765238e-01,-2.173663007908228303e-13,-3.691526302292765238e-01,-2.173663007908228303e-13
6.400000000000000133e-01,-2.838086078502863874e-01,0.000000000000000000e+00,-2.780537793243288980e-01,-3.069603304532476847e-13,-2.780537793243288980e-01,-3.069603304532476847e-13,-2.780537793243288980e-01,-3.069603304532476847e-13
6.600000000000000311e-01,-1.893638866069142224e-01,0.000000000000000000e+00,-1.847299321262932670e-01,-3.776562685394344655e-13,-1.847299321262932670e-01,-3.776562685394344655e-13,-1.847299321262932670e-01,-3.776562685394344655e-13
6.800000000000000488e-01,-9.590979912012585762e-02,0.000000000000000000e+00,-9.271609120743248833e-02,-4.282271042494383739e-13,-9.271609120743248833e-02,-4.282271042494383739e-13,-9.271609120743248833e-02,-4.282271042494383739e-13
7.000000000000000666e-01,-6.689747831922198892e-03,0.000000000000000000e+00,-5.196131033521630450e-03,-4.579514370699585782e-13,-5.196131033521630450e-03,-4.579514370699585782e-13,-5.196131033521630450e-03,-4.579514370699585782e-13
7.199999999999999734e-01,7.545475030884284118e-02,0.000000000000000000e+00,7.506668361494375774e-02,-4.671312193099994031e-13,7.506668361494375774e-02,-4.671312193099994031e-13,7.506668361494375774e-02,-4.671312193099994031e-13
7.399999999999999911e-01,1.481420200729608727e-01,0.000000000000000000e+00,1.457825107997813285e-01,-4.567898971639015697e-13,1.457825107997813285e-01,-4.567898971639015697e-13,1.457825107997813285e-01,-4.567898971639015697e-13
7.600000000000000089e-01,2.094918005215219703e-01,0.000000000000000000e+00,2.051704074063840921e-01,-4.287084715281868822e-13,2.051704074063840921e-01,-4.287084715281868822e-13,2.051704074063840921e-01,-4.287084715281868822e-13
7.800000000000000266e-01,2.581498368665336995e-01,0.000000000000000000e+00,2.519763676191655866e-01,-3.852970987206144041e-13,2.519763676191655866e-01,-3.852970987206144041e-13,2.519763676191655866e-01,-3.852970987206144041e-13
8.000000000000000444e-01,2.932954335673932378e-01,0.000000000000000000e+00,2.854743587732113674e-01,-3.291438282383482176e-13,2.854743587732113674e-01,-3.291438282383482176e-13,2.854743587732113674e-01,-3.291438282383482176e-13
8.200000000000000622e-01,3.146324361569280970e-01,0.000000000000000000e+00,3.054512786130441082e-01,-2.637461962992317942e-13,3.054512786130441082e-01,-2.637461962992317942e-13,3.054512786130441082e-01,-2.637461962992317942e-13
8.399999999999999689e-01,3.223646050914706906e-01,0.000000000000000000e+00,3.121771904310169932e-01,-1.920783769738239630e-13,3.121771904310169932e-01,-1.920783769738239630e-13,3.121771904310169932e-01,-1.920783769738239630e-13
8.599999999999999867e-01,3.171567959835820960e-01,0.000000000000000000e+00,3.063625598988905518e-01,-1.175830814209413885e-13,3.063625598988905518e-01,-1.175830814209413885e-13,3.063625598988905518e-01,-1.175830814209413885e-13
8.800000000000000044e-01,3.000837536814516815e-01,0.000000000000000000e+00,2.891045135026972246e-01,-4.348847017751423656e-14,2.891045135026972246e-01,-4.348847017751423656e-14,2.891045135026972246e-01,-4.348847017751423656e-14
9.000000000000000222e-01,2.725686517481392124e-01,0.000000000000000000e+00,2.618243594087653614e-01,2.702759797649957764e-14,2.618243594087653614e-01,2.702759797649957764e-14,2.618243594087653614e-01,2.702759797649957764e-14
9.200000000000000400e-01,2.363137553917928069e-01,0.000000000000000000e+00,2.261987555302003849e-01,9.159155570093098056e-14,2.261987555302003849e-01,9.159155570093098056e-14,2.261987555302003849e-01,9.159155570093098056e-14
9.400000000000000577e-01,1.932257489436397524e-01,0.000000000000000000e+00,1.840869767659098211e-01,1.479450216520104737e-13,1.840869767659098211e-01,1.479450216520104737e-13,1.840869767659098211e-01,1.479450216520104737e-13
9.599999999999999645e-01,1.453383455632142329e-01,0.000000000000000000e+00,1.374567259948093756e-01,1.939765359257137285e-13,1.374567259948093756e-01,1.939765359257137285e-13,1.374567259948093756e-01,1.939765359257137285e-13
9.799999999999999822e-01,9.473478684980617126e-02,0.000000000000000000e+00,8.831085533241407604e-02,2.284846410854858075e-13,8.831085533241407604e-02,2.284846410854858075e-13,8.831085533241407604e-02,2.284846410854858075e-13
1.000000000000000000e+00,4.347274616886141058e-02,0.000000000000000000e+00,3.861722089247582312e-02,2.509438456412757556e-13,3.861722089247582312e-02,2.509438456412757556e-13,3.861722089247582312e-02,2.509438456412757556e-13
1.020000000000000018e+00,-6.486022840905536317e-03,0.000000000000000000e+00,-9.756307257572940927e-03,2.610364215810269279e-13,-9.756307257572940927e-03,2.610364215810269279e-13,-9.756307257572940927e-03,2.610364215810269279e-13
1.040000000000000036e+00,-5.333919408557475511e-02,0.000000000000000000e+00,-5.509991000429660668e-02,2.590534143710026677e-13,-5.509991000429660668e-02,2.590534143710026677e-13,-5.509991000429660668e-02,2.590534143710026677e-13
1.060000000000000053e+00,-9.549873828827952493e-02,0.000000000000000000e+00,-9.591148187884146470e-02,2.457740450583445508e-13,-9.591148187884146470e-02,2.457740450583445508e-13,-9.591148187884146470e-02,2.457740450583445508e-13
1.080000000000000071e+00,-1.316357113877182072e-01,0.000000000000000000e+00,-1.309367386131792543e-01,2.224750860459048544e-13,-1.309367386131792543e-01,2.224750860459048544e-13,-1.309367386131792543e-01,2.224750860459048544e-13
1.100000000000000089e+00,-1.607139081424741878e-01,0.000000000000000000e+00,-1.591989617946801550e-01,1.908254126147304993e-13,-1.591989617946801550e-01,1.908254126147304993e-13,-1.591989617946801550e-01,1.908254126147304993e-13
1.120000000000000107e+00,-1.820117373791968196e-01,0.000000000000000000e+00,-1.800179284343111918e-01,1.524247124860593409e-13,-1.800179284343111918e-01,1.524247124860593409e-13,-1.800179284343111918e-01,1.524247124860593409e-13
1.140000000000000124e+00,-1.951320933464636143e-01,0.000000000000000000e+00,-1.930179287436483426e-01,1.094228271401116220e-13,-1.930179287436483426e-01,1.094228271401116220e-13,-1.930179287436483426e-01,1.094228271401116220e-13
1.159999999999999920e+00,-2.000004091549619778e-01,0.000000000000000000e+00,-1.981251205370982427e-01,6.382722595436863630e-14,-1.981251205370982427e-01,6.382722595436863630e-14,-1.981251205370982427e-01,6.382722595436863630e-14
1.179999999999999938e+00,-1.968514697181217576e-01,0.000000000000000000e+00,-1.955547937174353379e-01,1.778981053623645048e-14,-1.955547937174353379e-01,1.778981053623645048e-14,-1.955547937174353379e-01,1.778981053623645048e-14
1.199999999999999956e+00,-1.862059204088563347e-01,0.000000000000000000e+00,-1.857894143249379515e-01,-2.670334252916527639e-14,-1.857894143249379515e-01,-2.670334252916527639e-14,-1.857894143249379515e-01,-2.670334252916527639e-14
1.219999999999999973e+00,-1.688377227045573248e-01,0.000000000000000000e+00,-1.695485767022708590e-01,-6.779370403528404081e-14,-1.695485767022708590e-01,-6.779370403528404081e-14,-1.695485767022708590e-01,-6.779370403528404081e-14
1.239999999999999991e+00,-1.457340700666721056e-01,0.000000000000000000e+00,-1.477522077330081784e-01,-1.038510800389988489e-13,-1.477522077330081784e-01,-1.038510800389988489e-13,-1.477522077330081784e-01,-1.038510800389988489e-13
1.260000000000000009e+00,-1.180494789063177008e-01,0.000000000000000000e+00,-1.214785335264010752e-01,-1.336155181170038765e-13,-1.214785335264010752e-01,-1.336155181170038765e-13,-1.214785335264010752e-01,-1.336155181170038765e-13
