n_modes,sdp,sdp_optimized,positive_exponential
1.000000000000000000e+00,4.871996618965728221e-01,4.871996618965728221e-01,4.871997887702407826e-01
2.000000000000000000e+00,3.602123209192224507e-01,3.032435711806399370e-01,3.032435711806399370e-01
3.000000000000000000e+00,1.637306290995660107e-01,1.637306290995660107e-01,1.637306290995660107e-01
4.000000000000000000e+00,1.037668617467640414e-01,9.774019940540386309e-02,9.774019940540386309e-02
5.000000000000000000e+00,4.477548818013835086e-02,4.477548818013835086e-02,4.477548818013835086e-02
6.000000000000000000e+00,2.164261290470291185e-02,2.164261290470291185e-02,2.164261290470291185e-02
7.000000000000000000e+00,9.475861587544888096e-03,8.994920918658853848e-03,8.994920918658853848e-03
8.000000000000000000e+00,5.282091521995945643e-03,4.359512120218640881e-03,4.359512120218640881e-03
9.000000000000000000e+00,4.108853591108580471e-03,2.481942688269927599e-03,2.481942688269927599e-03
1.000000000000000000e+01,3.284917331054972977e-03,1.481580597115526648e-03,1.481580597115526648e-03
1.100000000000000000e+01,3.033009916724358889e-03,9.960405810155300785e-04,9.960405810155300785e-04
1.200000000000000000e+01,2.583079122335973227e-03,6.880095996678714087e-04,6.880095996678714087e-04
1.300000000000000000e+01,2.444492927099104450e-03,4.685789464049963486e-04,4.685789464049963486e-04
1.400000000000000000e+01,2.123731787633770934e-03,3.055843539834162759e-04,3.055843539834162759e-04
1.500000000000000000e+01,2.069047396800412046e-03,3.004203456483659678e-04,3.004203456483659678e-04
