n_modes,sdp_seconds,sdp_optimized_seconds,positive_seconds
1.000000000000000000e+00,1.368535840301774442e-01,1.277038750122301280e-01,1.203335419995710254e-01
2.000000000000000000e+00,1.394555409788154066e-01,1.363671660074032843e-01,1.374366669915616512e-01
3.000000000000000000e+00,1.591781669994816184e-01,1.554850419634021819e-01,1.506832090090028942e-01
4.000000000000000000e+00,1.584920830209739506e-01,1.878946250071749091e-01,1.860205000266432762e-01
5.000000000000000000e+00,1.698704159935005009e-01,2.715867090155370533e-01,2.734841249766759574e-01
6.000000000000000000e+00,2.163065419881604612e-01,7.179828339722007513e-01,7.079106250312179327e-01
7.000000000000000000e+00,2.048436659970320761e-01,1.074844416987616569e+00,1.094030208012554795e+00
8.000000000000000000e+00,1.544023750466294587e-01,1.180648915993515402e+00,1.194625708973035216e+00
9.000000000000000000e+00,1.533675000537186861e-01,1.278983333031646907e+00,1.278844374988693744e+00
1.000000000000000000e+01,1.615670829778537154e-01,1.433668750047218055e+00,1.417293208010960370e+00
1.100000000000000000e+01,1.676018330035731196e-01,1.500260333996266127e+00,1.506572249985765666e+00
1.200000000000000000e+01,1.843247499782592058e-01,1.636790124990511686e+00,1.652678999991621822e+00
1.300000000000000000e+01,1.836841250187717378e-01,1.777755292016081512e+00,1.796088207978755236e+00
1.400000000000000000e+01,2.048198329866863787e-01,2.049920457997359335e+00,1.987709832959808409e+00
1.500000000000000000e+01,1.991040830034762621e-01,2.137659333995543420e+00,2.053854666999541223e+00
